sample,Ag_ppm,Au_ppm,S,Fe2O3,clay
0,10.86,3.43,5.054,1.28,0.85
1,33.29,4.06,1.72,5.9,0.76
2,13.48,4.57,3.382,2.12,1.55
3,18.12,6.64,3.66,1.6,0.29
4,23.15,4.54,1.728,4.86,2.01
5,14.23,1.82,3.648,1.94,1.89
6,21.89,11.37,2.394,3.01,1.88
7,30.78,7.39,2.39,3.16,0.38
8,24.95,10.89,2.218,2.08,0.15
9,44.39,4.8,2.22,2.75,0.28
10,39.24,2.71,2.534,3.12,0.81
11,28.3,4.79,2.818,2.11,1.71
12,11.75,3.29,4.734,1.26,4.65
13,19.07,8.84,2.686,4.3,2.87
14,24.74,8.37,4.014,3.09,0.88
15,23.88,8.01,2.83,3.6,0.42
16,8.31,5.82,3.16,0.99,11.11
17,22.38,14.87,1.502,2.41,7.12
18,25.69,8.24,1.136,5.38,6
19,20.23,11.06,2.206,1.97,5.91
20,26.4,12.11,1.584,2.34,0.28
21,25.12,6.76,3.152,2.98,0.3
22,26.07,7.71,2.564,3.82,0.61
23,17.65,7.01,3.672,2.82,1.68
24,19.91,7.06,3.322,2.5,2.6
25,18.77,9.8,4.74,1.96,0.24
26,17.12,14.95,4.12,2.14,0.13
27,16.95,12.54,4.328,2.17,0.49
28,17.73,3.95,5.248,1.9,0.29
29,24.65,4.34,3.804,3.36,0.24
30,28.21,6.75,3.632,3.17,0.14
31,23.99,7.17,3.636,3.38,0.23
32,31.26,4.27,2.054,3.93,0.53
33,57.27,4.2,1.452,4.1,0.27
34,30.37,8.92,1.704,3.92,0.32
35,32.45,13.1,1.42,4.37,0.22
36,18.88,5.3,4.202,3.62,0.26
37,33.95,10.2,2.746,4.57,0.18
38,35.72,8.6,2.592,2.95,0.24
39,53.91,9.47,2.178,2.31,0.15
40,32.04,4.92,1.81,6.13,0.5
41,35.76,8.66,4.43,1.11,0.09
42,31.56,7.83,3.14,3.35,0.29
43,51.15,7.16,1.584,2.3,0.2
44,31.12,10.69,3.238,3.13,0.17
45,41.96,7.82,1.82,3.48,0.23
46,25.43,5.55,3.456,2.66,0.29
47,23.1,6.07,4.918,1.37,0.24
48,32.78,6.51,3.904,2.58,0.27
49,22.01,9.29,4.606,2.76,0.15
50,21.06,7.16,4.072,3.42,0.6
51,30.92,11.75,2.15,2.31,0.27
52,32.66,3.69,3.088,1.68,0.31
53,9.12,5.41,5.922,1.96,0.11
54,21.34,5.37,3.46,2.5,0.21
55,21.26,5.15,4.092,2.52,0.25
56,21.29,5.74,3.922,2.8,0.59
57,30.57,10.71,3.12,3.36,0.15
58,18.98,4.15,5.054,2.68,0.2
59,26.75,8.13,3.268,2.97,0.27
60,15.45,4.05,1.34,5.04,0.79
61,24.91,10.82,1.904,2.4,4.27
62,17.52,6.67,3.984,3.46,0.25
63,22.83,4.88,3.224,3.31,0.54
64,18.95,6.83,4.418,2.66,0.2
65,39.99,12.73,1.492,3.02,0.2
66,23.3,6.11,3.144,3.18,1.82
67,22.52,8.2,4.328,3.22,0.15
68,35.24,12.46,2.232,3.16,0.28
69,28.23,9.72,1.842,2.95,0.27
70,32.8,9.58,1.158,2.92,1.75
71,37.93,5.34,1.366,3.78,0.53
72,24.91,5.4,3.414,3.8,0.97
73,23.93,8.04,4.148,2.48,0.26
74,30.58,9.2,2.064,2.95,0.27
75,21.46,8.26,2.456,2.28,1.13
76,22.3,6.86,4.64,2.1,0.23
77,30.16,15.15,1.734,4.23,0.43
78,9.9,8.07,3.35,2.5,0.11
79,31.31,11.19,2.714,3.26,0.33
80,32.15,12.09,2.214,3.24,0.2
81,27.86,11.55,2.176,2.79,0.21
82,37.86,13.67,1.232,3.4,0.24
83,18.98,8.37,4.558,1.71,0.14
84,29.9,13.26,2.422,2.6,0.46
85,27.88,10.11,2.634,3.05,0.46
86,25.08,11.3,2.96,2.74,1.26
87,19.21,9.15,3.786,1.56,2.47
88,20.72,7.96,3.632,3.6,2.53
89,26.28,12.21,2.416,2.51,3.03
90,18.58,5.56,4.226,1.44,1.45
91,26.72,5.21,2.864,3.04,1
92,28,10.75,2.36,3.78,0.96
93,24.18,16.22,2.892,3.03,0.3
94,21.52,15.18,2.8,2.08,0.36
95,27.62,12.85,2.264,2.42,0.32
96,22.52,12.04,3.296,2.16,1.4
97,17.53,8.99,1.79,1.63,2.84
98,17.5,12.69,3.27,1.87,1.68
99,24.76,11.11,3.252,2.38,0.56
100,31.7,11.2,2.516,1.95,0.2
101,25.83,10.74,2.934,2.13,0.28
102,21.47,12.23,2.986,2.51,1.16
103,15.31,6.61,5.658,1.65,0.21
104,11.35,10.4,5.302,1.43,0.7
105,20.79,10.41,4.324,2.6,0.25
106,18.78,11.65,2.538,1.83,0.25
107,13.97,8.66,4.588,1.4,5.89
108,15.25,8,4.812,1.15,5.16
109,28.11,11.95,2.984,2.46,1.24
110,29.68,11.91,2.922,2.42,0.24
111,19.1,8.33,4.822,1.34,1.8
112,18.99,10.62,3.604,3.96,0.26
113,12.26,7.35,4.876,3.24,0.3
114,11.4,6.57,4.922,3.07,0.29
115,13.91,7.27,4.224,3.27,0.34
116,8.31,5.73,2.814,0.89,7.24
117,7.32,3.35,5.412,2.71,0.79
118,9.2,6.16,3.292,0.92,4.43
119,16.73,11.38,2.864,1.82,3.59
120,12.56,6.07,4.162,3.35,0.63
121,25.68,14.86,2.83,4.61,1.04
122,20.64,12.28,3.542,3.95,1.31
123,13.87,11.87,1.882,1.56,6.11
124,10.64,9.25,2.964,1.28,3.34
125,13.13,11.22,2.26,1.27,2.12
126,20.56,13.8,2.174,1.74,1.13
127,7.24,13.12,5.04,0.64,1.21
128,6.46,14.1,4.976,0.59,0.89