sample,SiO2,CaO,La,Nd,Gd
0,71.3,2.25,21.6,18.9,2.88
1,76.6,0.91,7.4,6.6,1.84
2,76.2,0.04,26.6,24.8,5.26
3,63.8,4.29,46.3,34.2,5.26
4,51.4,8.44,23.5,44.6,9.44
5,72.1,0.8,33.3,34.2,6.73
6,78.2,0.34,5.3,5.4,3.04
7,77.6,0.16,4.8,6,3.15
8,67.4,3.75,41.2,33.1,4.99
9,61.3,3.56,18.7,22.7,5.33
10,80.3,0.98,28,26.5,4.19
11,75.7,0.4,21.5,19.3,3.56
12,57.7,5.52,18.2,23.6,5.9
13,59,4.42,56,44,6
14,62.9,5.33,53.3,39.4,6.18
15,60.8,5,24.6,33.8,8.49
16,66.1,2.56,36.3,31.2,5.59
17,65.4,2.86,37.3,36.6,6.43
18,63.8,4.27,22.1,22.2,5.05
19,65.1,2.97,44.4,40.4,6.73
20,73.4,0.96,6,5.2,1.58
21,68.5,3.33,35,34.8,7.04
22,68.1,3.36,30.7,27.4,4.82
23,72.5,1.06,21.3,20.7,3.93
24,74,0.33,4.7,6.1,2.03
25,72,0.89,19.8,18.3,3.59
26,58.2,6.54,18.3,39.1,11.75
27,82.4,0.07,9.8,8,2.24
28,63.6,0.45,21.8,18.7,3.94
29,67.6,3.21,12.6,10.9,1.66
30,60,5.26,26.3,28.8,6.26
31,62.9,5.2,14,14.7,3.14
32,70.4,1.76,32.6,34.7,6.64
33,56.4,6.47,15.7,16,3.52
34,66.7,3.34,26.9,23.8,4.67
35,66.8,3.35,57.2,51.5,8.99
36,68.6,2.85,12.1,11.6,3.12
37,72.4,3.98,26.4,27.3,5.74
38,68.7,3.24,29.9,26.5,4.45
39,61.8,5.9,16.1,31.7,10.25
40,75.1,2.91,21.7,19.7,4.74
41,70.5,1.4,36.7,38.8,8.54
42,59.1,5.29,18.9,22,6.69
43,67.2,3.96,20.7,23.2,6.01
44,65.6,2.66,44.8,45.7,7.62
45,65.3,2.98,36.1,35.9,6.25
46,75.1,0.35,5.7,6.1,2.05
47,76.6,0.12,9.1,7.6,1.49
48,75.9,0.18,2.2,2.5,1.15
49,73.4,0.87,18.3,18.1,3.72
50,77.6,0.16,29.4,29.3,7.55
51,66,2.59,34.5,36.5,9.37
52,54.7,7.16,16.4,22.2,6.65
53,66.1,4.05,52.5,42.4,6.75
54,60.6,6.08,20.8,35.3,8.81
55,57.1,6.86,24.3,29.5,5.75
56,64.2,5.2,25.1,32,8.04
57,49.2,6.55,33.7,49.9,11.55
58,62.6,5.24,29.1,34.5,7.81
59,70.6,2.06,13.1,13.2,2.96
61,67.9,1.66,38.3,36.1,6.65
62,76.2,1.03,4.8,4.4,1.24
63,74.2,0.78,41.7,50.5,14.7
64,74.3,0.06,38.3,39.1,10.9
65,74.1,0.44,36.9,42.4,13
66,74.6,0.68,53.2,60.3,15.75
67,66,3.87,43.4,43.5,9.74
68,76,0.64,49.4,57.9,16.1
69,69.3,3.77,37.2,32.8,5.98
70,67.2,2.67,37.3,40.7,10
71,66.7,3.28,33.1,33.5,6.36
72,56,4.61,23.3,31.5,8.63
73,78.1,0.4,10,9.6,2.88
74,64.2,3.4,13,16,3.47
75,73.6,0.03,42.8,40.7,7.33
76,60.6,5.82,34.9,55.2,11.95
77,72.8,0.03,22.3,14.7,2.58
78,60.5,4.45,14.8,25.7,6.78
79,55,6.83,30.7,48.9,10.15